filename,公司全称,公司简称,公司代码,公告名称,落款日期,业绩分类,审计机构,签字会计师,审计意见,"审计费用（万元）/
会计师事务所报酬",营业收入（单位：元）-本期数据,营业收入（单位：元）-上期数据,营业收入（单位：元）-同比变动比例（%）,"归属于上市公司股东的净利润
（单位：元）-本期数据","归属于上市公司股东的净利润
（单位：元）-上期数据","归属于上市公司股东的净利润
（单位：元）-同比变动比例（%）",归属于上市公司股东的扣除非经常性损益的净利润（单位：元）-本期数据,归属于上市公司股东的扣除非经常性损益的净利润（单位：元）-上期数据,归属于上市公司股东的扣除非经常性损益的净利润（单位：元）-同比变动比例（%）,"总资产/资产总额
（单位：元）-本期数据","总资产/资产总额
（单位：元）-上期数据","总资产/资产总额
（单位：元）-同比变动比例（%）","归属于上市公司股东的净资产
（单位：元）-本期数据","归属于上市公司股东的净资产
（单位：元）-上期数据","归属于上市公司股东的净资产
（单位：元）-同比变动比例（%）",经营活动产生的现金流量净额-本期数据,经营活动产生的现金流量净额-上期数据,经营活动产生的现金流量净额-同比变动比例（%）,基本每股收益（元／股）-本期数据,基本每股收益（元／股）-上期数据,基本每股收益（元／股）-同比变动比例（%）,加权平均净资产收益率（%）-本期数据,加权平均净资产收益率（%）-上期数据,加权平均净资产收益率（%）-同比变动比例（%）,资产负债率,目录,利润分配预案/利润分配方案,语言,精排,篇幅页码,字数,净利润（本期数据）,净利润（上期数据）,本期数据,上期数据,同比变动比例（%）,负债合计（本期数据）,负债和所有者权益（或股东权益）总计（本期数据）,董事会决议通过的本报告期利润分配预案或公积金转增股本预案,经本次董事会审议通过的利润分配预案为：,年度利润分配方案如下：
146002979_2025-10-21_中国巨石2025年第三季度报告.pdf,中国巨石股份有限公司,中国巨石,600176,中国巨石股份有限公司2025年第三季度报告,2025-10-21,同比增长,未找到,未找到,未找到,未找到,4795092996.64,未找到,23.17,881093244.61,未找到,54.06,911279944.04,未找到,72.57,54551089582.32,53378083328.82,2.20,31611702570.60,30040848847.00,5.23,不适用,不适用,不适用,0.2201,未找到,54.02,2.83,未找到,增加0.85个百分点,39.60%,一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,11,9848,2673070961.32,1586316142.71,未找到,未找到,未找到,21492296989.68,54551089582.32,未找到,未找到,未找到
146003063_2025-10-21_华东医药：2025年半年度报告（英文版）.pdf,华东医药股份有限公司,华东医药,000963,2025 Semi-annual Report,2025-08-20,同比增长,未找到,未找到,未找到,未找到,21674928965.21,20965065605.67,3.39%,1814826860.86,1696020589.20,7.01%,1761734255.98,1625200244.09,8.40%,38815448940.78,37879046367.15,2.47%,23751917398.00,23060051397.36,3.00%,2456848510.10,2275256481.44,7.98%,1.0293,0.9675,6.39%,7.62%,7.80%,-0.18%,未找到,"Section I Important Notes, Table of Contents and Definitions;Section II Company Profile and Key Financial Indicators;Section III Management's Discussion and Analysis;Section IV Corporate Governance, Environment, and Society;Section V Important Matters;Section VI Changes in Shares and Shareholders;Section VII Bonds-related Information;Section VIII Financial Reports;Section IX Other Submitted Data","On the basis of 1,754,021,048.00 shares—derived by excluding 56,000.00 restricted stock (pending repurchase and cancellation) from the existing total share capital of 1,754,077,048.00 shares, RMB 3.50 (before tax) of cash dividends per ten shares will be distributed to all shareholders; a total of 0 bonus shares (before tax) will be issued; and no capital reserve will be converted to increase the capital stock. This 2025 interim profit distribution scheme falls within the scope authorized by the 2024 Annual Shareholders' Meeting resolution to the Board of Directors and does not require further approval by the Shareholders' Meeting.",英文,是,146,232584,未找到,未找到,未找到,未找到,未找到,未找到,未找到,未找到,未找到,未找到
146003113_2025-10-21_中国西电2025年第三季度报告.pdf,中国西电电气股份有限公司,中国西电,601179,中国西电电气股份有限公司2025年第三季度报告,2025-10-21,同比增长,未找到,未找到,未找到,未找到,5657771714.94,未找到,15.98,340333339.63,未找到,1.78,313952389.22,未找到,1.30,47662133319.22,46132601108.92,3.32,22625110962.55,22024621140.11,2.73,555169265.29,1403537299.70,-60.44,0.0664,未找到,1.84,1.5195,增加0.00个百分点,未找到,46.21%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,12,10342,1178558201.84,988158808.17,未找到,未找到,未找到,22047232123.64,47662133319.22,未找到,未找到,未找到
146003234_2025-10-21_保利发展控股集团股份有限公司2025年第三季度报告.pdf,保利发展控股集团股份有限公司,保利发展,600048,保利发展控股集团股份有限公司2025年第三季度报告,2025-10-22,同比下降,未找到,未找到,未找到,未找到,56864961500,未找到,30.65,-782175800,未找到,-299.19,-839721700,未找到,-329.03,1287392749300,1335108015600,-3.57,197419391138.51,197596494142.03,-0.09,6977471200,未找到,/,-0.07,未找到,-296.78,-0.39,未找到,下降0.60个百分点,73.27%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,19,16426,6515402984.28,12241783720.33,未找到,未找到,未找到,943221480551.57,1287392749339.24,未找到,未找到,未找到
146003474_2025-10-22_福达股份2025年第三季度报告.pdf,桂林福达股份有限公司,福达股份,603166,桂林福达股份有限公司2025年第三季度报告,2025-10-23,同比增长,未找到,未找到,未找到,未找到,"1,413,276,023.27","1,110,029,772.55",27.32,"221,462,801.91","120,842,374.32",83.27,"206,087,821.94","115,912,842.17",77.68,"4,655,572,271.82","4,088,693,972.05",13.86,"2,557,193,317.79","2,392,799,427.91",6.87,"332,567,523.74","311,175,347.89",6.87,0.34,0.19,80.37,8.95,5.18,增加3.57个百分点,45.08%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,12,9131,"221,462,801.91","120,842,374.32",未找到,未找到,未找到,"2,098,378,954.03","4,655,572,271.82",未找到,未找到,未找到
146003543_2025-10-22_2025年第三季度报告.pdf,上海翔港包装科技股份有限公司,翔港科技,603499,上海翔港包装科技股份有限公司2025年第三季度报告,2025-10-22,同比增长,未找到,未找到,未找到,未找到,226813972.75,未找到,-0.67,17154542.67,未找到,-7.98,16652400.53,未找到,-4.39,1528779886.80,1549998636.97,-1.37,874366223.91,822140037.13,6.35,不适用,不适用,不适用,0.0567,未找到,-7.95,2.06,减少0.33个百分点,未找到,38.56%,重要内容提示;一、主要财务数据;二、股东信息;三、其他提醒事项;四、季度财务报表,未找到,中文,否,17,13411,106946722.06,45171036.84,未找到,未找到,未找到,589360698.38,1528779886.80,未找到,未找到,未找到
146003574_2025-10-22_2025年第三季度报告.pdf,浙江巍华新材料股份有限公司,巍华新材,603310,浙江巍华新材料股份有限公司2025年第三季度报告,2025-10-22,同比下降,未找到,未找到,未找到,未找到,659995166.09,778153731.96,-15.18,108538101.31,183845612.98,-40.96,97160272.20,178448104.34,-45.80,4658970930.42,4585115204.82,1.61,3966129559.71,3962637550.73,0.09,17700998.68,126121376.14,-85.97,0.31,0.68,-54.41,2.73,6.85,-60.15,12.20%,重要内容提示;一、主要财务数据;二、股东信息;三、其他提醒事项;四、季度财务报表,未找到,中文,否,13,10371,96333840.82,181726835.22,未找到,未找到,未找到,573421826.84,4658970930.42,未找到,未找到,未找到
146003726_2025-10-22_冰山B：2025年三季度报告（英文版）.PDF,"Bingshan Refrigeration & Heat Transfer Technologies Co., Ltd.",Bingshan; Bingshan B,000530; 200530,"QUARTERLY REPORT FOR THIRD QUARTER, 2025",2025-10-23,同比下降,未找到,未找到,未找到,未找到,"3,613,058,611.70","3,714,576,184.29",-2.73%,"90,293,117.21","94,574,665.85",-4.53%,"79,189,507.09","71,052,345.33",11.45%,"7,566,212,368.93","7,628,315,487.35",-0.81%,"3,182,280,951.42","3,132,102,966.64",1.60%,"-15,219,276.00","-45,286,230.18",66.39%,0.11,0.11,-,2.86%,3.08%,Decrease0.22 percentage points,56.05%,"Important Notes; §1 Major accounting data and changes of shareholders; 1.1 Major accounting data and financial indexes; 1.3 Major changes in main financial items and indexes, and description of the cause; 2.1 Total number and particulars of the shareholders by the end of the report period; 2.2 Information on the total number of preferred shareholders and the shares held by top ten preferred shareholders as of the end of the reporting period; §3 Other important Matters; §4 Financial Statements; CONSOLIDATION BALANCE SHEET; CONSOLIDATION INCOME STATEMENT; CONSOLIDATION CASH FLOW STATEMENT",未找到,英文,否,10,16609,"93,465,896.69","97,479,845.18",未找到,未找到,未找到,"4,325,192,149.24","7,566,212,368.93",未找到,未找到,未找到
146003782_2025-10-22_2025年第三季度报告.pdf,南京麦澜德医疗科技股份有限公司,麦澜德,688273,南京麦澜德医疗科技股份有限公司2025年第三季度报告,2025-10-23,同比下降,未找到,未找到,未找到,未找到,343848376.30,330578105.74,4.01,95998698.24,96070603.10,-0.07,79804928.80,87997698.24,-9.74,1541414254.15,1546621500.61,-0.34,1367865533.52,1312201919.94,4.24,59327695.24,56353866.39,5.28,0.9813,0.9728,0.87,7.13,6.07,增加0.06个百分点,9.51%,重要内容提示;一、主要财务数据;二、股东信息;三、其他提醒事项;四、季度财务报表,未找到,中文,否,12,9290,95639503.80,100527812.13,未找到,未找到,未找到,146671285.43,1541414254.15,未找到,未找到,未找到
146003840_2025-10-22_龙岩高岭土股份有限公司2025年第三季度报告.pdf,龙岩高岭土股份有限公司,龙高股份,605086,龙岩高岭土股份有限公司2025年第三季度报告,2025-10-22,同比下降,未找到,未找到,未找到,未找到,206037760.50,232090587.75,-11.23,79969301.80,96281078.90,-16.94,68883363.45,88583363.45,-22.08,1348139654.49,1314179879.35,2.58,1278337899.78,1230512321.53,3.89,76421412.59,122044244.46,-37.38,0.45,0.54,-16.67,6.26,8.17,减少1.67个百分点,4.93%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,13,9753,80001725.84,96281078.90,未找到,未找到,未找到,66469330.67,1348139654.49,未找到,未找到,未找到
146003876_2025-10-22_横店影视股份有限公司2025年第三季度报告.pdf,横店影视股份有限公司,横店影视,603103,横店影视股份有限公司2025年第三季度报告,2025-10-22,同比增长,立信会计师事务所（特殊普通合伙）,未找到,标准无保留意见,未找到,1894939165.43,1615792707.63,17.28,206000956.47,17387014.92,1084.80,152985166.73,未找到,未找到,3941182349.57,4051130636.18,-2.71,1373682455.13,1167681498.66,17.64,637324836.31,460748884.12,38.32,0.32,0.03,966.67,16.21,未找到,未找到,65.15%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、行业及公司情况;（一）截至报告期末行业情况;（二）公司经营情况;三、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;四、其他提醒事项;五、季度财务报表;（一）审计意见类型;（二）财务报表,"公司拟向全体股东每股派发现金红利0.14元（含税）。截至2025年9月30日，公司总股本634,200,000股，以此计算合计拟派发现金红利88,788,000.00元（含税），占2025年前三季度归属于上市公司股东净利润的比例43.10%。本次利润分配不送红股，不以公积金转增股本。",中文,否,19,14781,206000956.47,17387014.92,未找到,未找到,未找到,2567499894.44,3941182349.57,"公司拟向全体股东每股派发现金红利0.14元（含税）。截至2025年9月30日，公司总股本634,200,000股，以此计算合计拟派发现金红利88,788,000.00元（含税），占2025年前三季度归属于上市公司股东净利润的比例43.10%。本次利润分配不送红股，不以公积金转增股本。",未找到,未找到
146003878_2025-10-22_2025年第三季度报告.pdf,中巨芯科技股份有限公司,中巨芯,688549,中巨芯科技股份有限公司2025年第三季度报告,2025-10-21,同比下降,未找到,未找到,未找到,未找到,880531570.13,749009940.42,17.56,25209377.78,29734839.79,-15.22,12084328.01,16000000.00,-24.43,4120085629.04,4013928886.89,2.64,3049058368.28,3029540316.48,0.64,86336114.17,54132161.15,59.49,0.0171,0.0201,-14.93,0.83,0.98,减少0.15个百分点,24.09%,重要内容提示;一、主要财务数据;二、股东信息;三、其他提醒事项;四、季度财务报表,未找到,中文,否,13,9598,21086005.63,30717592.80,未找到,未找到,未找到,992835565.99,4120085629.04,未找到,未找到,未找到
146003885_2025-10-22_南京伟思医疗科技股份有限公司2025年第三季度报告.pdf,南京伟思医疗科技股份有限公司,伟思医疗,688580,南京伟思医疗科技股份有限公司2025年第三季度报告,2025-10-23,同比增长,未找到,未找到,未找到,未找到,325530311.85,291757867.37,11.58,102148287.23,78166276.35,30.68,93600044.21,67931000.00,37.35,1822941844.68,1820364713.20,0.14,1657791972.78,1627462889.33,1.86,104406251.44,61772280.35,69.02,1.07,0.82,30.49,6.17,4.80,增加1.37个百分点,9.06%,一、主要财务数据;二、股东信息;三、其他提醒事项;四、季度财务报表,未找到,中文,否,12,8673,102148287.23,78166276.35,未找到,未找到,未找到,165149871.90,1822941844.68,未找到,未找到,未找到
146003909_2025-10-22_诺德新材料股份有限公司2025年第三季度报告.pdf,诺德新材料股份有限公司,诺德股份,600110,诺德新材料股份有限公司2025年第三季度报告,2025-10-23,亏损,未找到,未找到,未找到,未找到,4792782286.06,3709361323.87,29.21,-93741245.69,-217483323.65,56.90,-108484965.27,-264484160.36,59.09,17472688553.32,16140313792.42,8.25,5885953270.60,5680649325.44,3.61,589714935.59,139082425.92,324.00,-0.0544,-0.1245,56.31,-1.62,-3.65,增加2.03个百分点,57.33%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;（一）关于董事会延期换届的事项;（二）关于向激励对象授予2025年股票期权激励计划预留股票期权的事项;（三）立案调查尚未结案;（四）关于出售全资子公司部分股权暨签订股权转让协议的事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,14,11444,-98067127.52,-227807604.60,未找到,未找到,未找到,10017314757.00,17472688553.32,未找到,未找到,未找到
146003944_2025-10-22_2025年第三季度报告.pdf,上海行动教育科技股份有限公司,行动教育,605098,2025年第三季度报告,2025-10-23,同比增长,未找到,未找到,未找到,未找到,221868010.40,未找到,27.93,83400335.63,未找到,42.78,80142204.58,未找到,62.25,2176577103.93,2232013797.24,-2.48,964929263.35,961393865.82,0.37,不适用,不适用,不适用,0.70,未找到,40.00,8.32,未找到,增加2.29个百分点,55.38%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,12,8568,217154472.62,196725207.17,未找到,未找到,未找到,1205244640.17,2176577103.93,未找到,未找到,未找到
146004024_2025-10-22_2025年第三季度报告.pdf,威胜信息技术股份有限公司,威胜信息,688100,威胜信息技术股份有限公司2025年第三季度报告,2025-10-23,同比增长,未找到,未找到,未找到,未找到,2111980975.34,1941228185.42,8.80,474188191.17,422747720.89,12.24,464129395.28,409000000.00,13.02,5462791104.49,4957092465.71,10.20,3341973489.11,3351412938.33,-0.28,400538693.02,392876828.93,1.95,0.97,0.86,12.79,14.26,12.30,增加2.1个百分点,38.82%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,14,9573,474188191.17,422721199.27,未找到,未找到,未找到,2120817615.38,5462791104.49,未找到,未找到,未找到
146004091_2025-10-22_杭叉集团：2025年第三季度报告.pdf,杭叉集团股份有限公司,杭叉集团,603298,杭叉集团股份有限公司2025年第三季度报告,2025-10-23,同比增长,未找到,未找到,未找到,未找到,"13,971,607,476.15","12,854,274,681.62",8.69,"1,752,757,407.32","1,576,021,875.39",11.21,"1,714,856,921.61","1,545,178,632.34",10.98,"18,827,049,792.25","16,871,203,269.11",11.59,"11,387,552,355.15","10,091,719,471.40",12.84,"688,725,522.57","646,554,489.98",6.52,1.34,1.20,11.67,16.24,17.50,减少1.26个百分点,35.88%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,11,9686,"1,821,336,114.56","1,649,580,609.17",未找到,未找到,未找到,"6,755,124,509.77","18,827,049,792.25",未找到,未找到,未找到
146004115_2025-10-22_康众医疗2025年第三季度报告.pdf,江苏康众数字医疗科技股份有限公司,康众医疗,688607,江苏康众数字医疗科技股份有限公司2025年第三季度报告,2025-10-23,同比下降,未找到,未找到,未找到,未找到,81136819.16,未找到,21.80,1087381.54,未找到,-79.36,-958248.36,未找到,未找到,988475321.06,966947228.28,2.23,858548051.45,862540338.57,-0.46,-24246104.02,未找到,未找到,0.01,未找到,-84.54,0.10,未找到,减少0.53百分点,13.21%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,13,9942,110187.00,12591909.69,未找到,未找到,未找到,130202196.49,988475321.06,未找到,未找到,未找到
146004217_2025-10-22_东方精工：2025年第三季度报告（英文）.PDF,"GUANGDONG DONGFANG PRECISION SCIENCE & TECHNOLOGY CO., LTD.",东方精工,未找到,THE REPORT FOR THE THIRD QUARTER OF 2025,2025-10-22,同比增长,未找到,未找到,未找到,未找到,"1,230,355,511.66",未找到,7.49%,"112,951,930.77",未找到,-32.02%,"91,920,596.09",未找到,-37.51%,"8,560,264,060.48","7,528,576,996.98",13.70%,"5,456,158,998.74","4,977,379,483.29",9.62%,"506,265,662.57","180,553,840.88",180.40%,0.43,0.27,59.26%,9.64%,未找到,2.58%,33.64%,"I Key Financial Information; 1. Key Financial Data and Indicators; 2. Non-recurring profit and loss items and amount; 3. Changes in Key Financial Data and Indicators and the Reasons; II Shareholder Information; 1. Total Number of Ordinary Shareholders and Number of Preference Shareholders with Resumed Voting Rights, as well as Information of Top 10 Shareholders; 2. Total Number of Preference Shareholders and Information of Top 10 Preference Shareholders; III Other Significant Events; IV Quarterly Financial Statements; 1. Financial Statements; 2. Adjustments to financial statements at the beginning of the year of first implementation of new accounting standards for the first time from 2025 onwards; 3. Audit Report",未找到,中文,否,14,23411,"540,306,549.88","356,861,187.31",未找到,未找到,未找到,"2,879,464,056.06","8,560,264,060.48",未找到,未找到,未找到
146004260_2025-10-22_同花顺：2025年三季度报告.PDF,浙江核新同花顺网络信息股份有限公司,同花顺,300033,浙江核新同花顺网络信息股份有限公司2025年第三季度报告,2025-10-23,同比增长,未找到,未找到,未找到,未找到,"3,260,860,919.93","2,334,720,341.07",39.67%,"1,206,200,411.61","650,963,893.65",85.29%,"1,170,558,293.88","631,006,120.00",85.50%,"11,453,177,228.47","10,976,501,567.53",4.34%,"7,502,669,903.23","7,974,107,473.75",-5.91%,"2,195,884,161.73","654,866,071.28",235.32%,2.24,1.21,85.12%,16.10%,9.50%,6.60%,34.49%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据和财务指标发生变动的情况及原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;（二）公司优先股股东总数及前10名优先股股东持股情况表;（三）限售股份变动情况;三、其他重要事项;四、季度财务报表;（一）财务报表;（二）2025年起首次执行新会计准则调整首次执行当年年初财务报表相关项目情况;（三）审计报告,"2025年8月22日董事会审议通过2025年半年度利润分配方案：以公司2025年6月30日的总股本537,600,000股为基数向全体股东每10股派发现金股利1.00元人民币（含税），共计派发现金53,760,000.00元（含税）。公司于2025年9月10日召开2025年度第一次临时股东会，审议通过2025年半年度利润分配方案，并于2025年9月23日实施完成。",中文,否,11,9798,"1,206,281,689.52","650,917,369.00",未找到,未找到,未找到,"3,950,208,370.78","11,453,177,228.47",未找到,未找到,未找到
146004555_2025-10-22_虹美菱B：2025年三季度报告（英文版）.PDF,"Changhong Meiling Co., Ltd.","Changhong Meiling, Hongmeiling B","000521,200521",The Third Quarterly Report of 2025,2025-10-23,同比下降,未找到,未找到,未找到,未找到,"7,321,413,995.48","7,815,798,948.22",-6.33%,"71,219,065.64","115,953,785.77",-38.58%,"59,980,739.90","81,753,224.33",-26.63%,"24,058,903,150.66","23,972,603,896.48",0.36%,"6,211,715,768.65","6,085,800,940.38",2.07%,"1,344,895,114.32","2,753,988,429.67",-51.17%,0.0692,0.1126,-38.54%,1.16%,1.97%,Decreased by 0.81 percentage points,72.52%,I. Main financial data; (i) Main accounting data and financial indexes; (ii)Items of non-recurring gains and losses; (iii)Particulars about material changes in items of main accounting statement and financial index and explanations of reasons; II. Application of the raised capital; III. Shareholders; (i)Total number of common shareholders and preference shareholders with voting rights recovered and top ten shareholders; (ii)Total number of preferred shareholders and shareholding of top 10 preferred shareholders by the end of the report period; IV. Other important matters; V. Quarterly financial statements; (i) Financial statement; 1. Consolidate Balance Sheet; 2. Consolidated Income statement between the beginning of the year and end of the report period; (ii) The information of the adjusting items related to the financial statements at the beginning of the year of first implementation due to the first implementation of new accounting standards from 2025; (iii) Auditors' Report,未找到,英文,是,21,42111,"503,411,398.94","544,881,255.56",未找到,未找到,未找到,"17,444,843,589.05","24,058,903,150.66",未找到,未找到,未找到
146004603_2025-10-22_众望布艺2025年第三季度报告.pdf,众望布艺股份有限公司,众望布艺,605003,众望布艺股份有限公司2025年第三季度报告,2025-10-23,同比下降,未找到,未找到,未找到,未找到,373441257.14,385149499.81,-3.04,52399271.80,67581455.94,-22.47,42770134.97,64303210.10,-33.73,1555774134.89,1587375657.49,-1.99,1438105261.85,1433835116.43,0.30,60303271.78,35318366.41,70.74,0.48,0.61,-21.31,3.63,4.77,-1.14,7.56%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,11,8148,52399271.80,67581455.94,未找到,未找到,未找到,117668873.04,1555774134.89,未找到,未找到,未找到
146004605_2025-10-22_上海石化2025年第三季度报告.pdf,中国石化上海石油化工股份有限公司,上海石化,600688,中国石化上海石油化工股份有限公司2025年第三季度报告,2025-10-22,亏损,未找到,未找到,未找到,未找到,19362301000,未找到,-13.8%,30595000,未找到,361.67%,45426000,未找到,233.23%,41859639000,41769339000,0.22%,24267764000,25040254000,-3.08%,1887979000,2666922000,-81.28%,0.003,-0.041,200.00%,0.126,-1.750,增加0.099个百分点,42.73%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;（二）公司优先股股东总数及前10名优先股股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,10,7009,-429121000,39916000,未找到,未找到,未找到,17489796000,41859639000,未找到,未找到,未找到
146004640_2025-10-22_中复神鹰碳纤维股份有限公司2025年第三季度报告.pdf,中复神鹰碳纤维股份有限公司,中复神鹰,688295,中复神鹰碳纤维股份有限公司2025年第三季度报告,2025-10-23,扭亏为盈,未找到,未找到,未找到,未找到,1536926021.13,1118686435.48,37.39,62934646.33,-8338793.32,未找到,49469200,未找到,未找到,9437681900,9357372100,0.86,4690047100,4625279700,1.40,33903088.41,229974623.61,-85.26,0.07,-0.01,未找到,1.35,未找到,未找到,50.30%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,14,9656,62934646.33,-8338793.32,未找到,未找到,未找到,4747634838.07,9437681910.88,未找到,未找到,未找到
146005035_2025-10-22_中国联合网络通信股份有限公司2025年第三季度报告.pdf,中国联合网络通信股份有限公司,中国联通,600050,中国联合网络通信股份有限公司2025年第三季度报告,2025-10-22,同比增长,未找到,未找到,未找到,未找到,292985170740,290122946680,1.0,8771887626,8338223947,5.2,7622994442,未找到,10.9,671346506472,672836701609,-0.2,171930239017,164846809431,4.3,58363344989,58250837732,0.2,0.281,0.267,5.2,5.13,未找到,增加0.14个百分点,43.46%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表;（三）2025年起首次执行新会计准则或准则解释等涉及调整首次执行当年年初的财务报表;五、下属公司非融资性担保业务情况,未找到,中文,是,21,29565,19936989025,18972914550,未找到,未找到,未找到,291690666214,671346506472,未找到,未找到,未找到
146005611_2025-10-23_润丰股份：2025年第三季度报告说明（英文版）.PDF,Rainbow,Rainbow,未找到,2025 Q3 Report,未找到,同比增长,未找到,未找到,未找到,未找到,4380677448.62,4103439313.2,6.76%,889733619.13,341563969.19,160.49%,未找到,未找到,未找到,未找到,未找到,未找到,未找到,未找到,未找到,1740314337.78,459081421.38,279.09%,未找到,未找到,未找到,未找到,未找到,未找到,未找到,未找到,未找到,英文,否,17,6776,889733619.13,341563969.19,4380677448.62,4103439313.2,6.76%,未找到,未找到,未找到,未找到,未找到
